,bad_words_score,Lengths,Sentiment,score_array,polarity,subjectivity
483,0,16,41.642857142857146,41.642857142857146,0.36190476190476195,0.5452380952380952
484,0,18,0.0,0.0,0.0,0.0
485,0,38,33.92857142857142,33.92857142857142,0.2857142857142857,0.5357142857142857
486,0,16,0.0,0.0,0.0,0.0
487,0,42,38.25,38.25,0.35,0.325
488,0,22,24.0,24.0,0.2,0.4
489,0,11,0.0,0.0,0.0,0.0
490,0,22,33.92857142857142,33.92857142857142,0.2857142857142857,0.5357142857142857
491,0,18,70.0,70.0,0.6,1.0
492,0,14,30.75,30.75,0.25,0.575
493,0,1,0.0,0.0,0.0,0.0
494,0,38,18.666666666666664,18.666666666666664,0.16666666666666666,0.19999999999999998
495,0,15,0.0,0.0,0.0,0.0
496,0,17,12.0,12.0,0.1,0.2
497,0,26,29.8538961038961,29.8538961038961,0.24675324675324672,0.5178571428571428
498,0,33,42.5,42.5,0.375,0.5
499,200,15,23.0,223.0,0.2,0.3
500,0,18,76.0,76.0,0.7,0.6000000000000001
501,0,12,0.6666666666666666,0.6666666666666666,0.0,0.06666666666666667
502,0,15,25.000000000000004,25.000000000000004,0.2142857142857143,0.35714285714285715
503,0,23,-8.666666666666668,-8.666666666666668,-0.13333333333333333,0.46666666666666673
504,200,30,16.5,216.5,0.15,0.15
505,0,24,0.0,0.0,0.0,0.0
506,0,23,80.83333333333334,80.83333333333334,0.7166666666666667,0.9166666666666667
507,800,25,0.0,800.0,0.0,0.0
508,0,19,0.0,0.0,0.0,0.0
509,0,18,33.92857142857142,33.92857142857142,0.2857142857142857,0.5357142857142857
510,0,17,11.5,11.5,0.1,0.15000000000000002
511,0,21,76.0,76.0,0.7,0.6000000000000001
512,200,22,-13.75,186.25,-0.1875,0.5
513,0,16,-8.75,-8.75,-0.125,0.375
